email,location,name,role,vnu_id,username,password,gender,phone_number
2022001@vnu.edu.vn,"101A, 39 Phố Nghĩa Đô, Cầu Giấy, Hà Nội",Nguyễn Việt Anh,student,2022001,2022001,bach,male,373093631
2022002@haui.edu.vn,"Ngõ 69, Đường Cốm Vòng, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Trần Xuân Bách,student,2022002,2022002,bach,male,155121565
2022003@haui.edu.vn,"Ngõ 69, Đường Cốm Vòng, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Đặng Thế Hoàng Anh,student,2022003,2022003,bach,male,2597837193
2022004@haui.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Hoàng Hữu Bách,student,2022004,2022004,bach,male,322983674
2022005@haui.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Nguyễn Bá Anh Tuấn,student,2022005,2022005,bach,male,729496535
2022006@haui.edu.vn,"02 Đ. Minh Cầu, Hàng Văn Thụ, Thành phố Thái Nguyên, Thái Nguyên, Việt Nam",Đào Thị Ngát,student,2022006,2022006,bach,male,3501212752
2022007@haui.edu.vn,"189 Nghi Tàm, Yên Phụ, Tây Hồ, Hà Nội",Nguyễn Minh Triết,student,2022007,2022007,bach,male,84776519
2022008@haui.edu.vn,"số 8 Đỗ Đức Dục, Từ Liêm, Hà Nội",Nguyễn Văn Huy,student,2022008,2022008,bach,male,816273432
2022009@haui.edu.vn,"số 1 Ngụy Như Kon Tum, Thanh Xuân, Hà Nội",Hoàng Tuấn Anh,student,2022009,2022009,bach,male,2192155011
2022010@haui.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội",Nguyễn Thị Thơm,student,2022010,2022010,bach,male,3501212752
2022011@haui.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội",Trần Minh Khúc,student,2022011,2022011,bach,male,182764291
2022012@haui.edu.vn,"24 Tông Đản, Tràng Tiền, Hoàn Kiếm, Hà Nội",Bánh Trôi Nước,student,2022012,2022012,bach,male,223544128
2022013@haui.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Xuân Quỳnh,student,2022013,2022013,bach,male,2164224601
2022014@haui.edu.vn,"86 Hoàng Ngân, quận Cầu Giấy, Hà Nội.",Lưu Quang Vũ,student,2022014,2022014,bach,male,378676173
2022015@haui.edu.vn,"Lương Sơn Quán, 73, Thái Hà - Đống Đa - Hà Nội.",Hoàng Văn Thụ,student,2022015,2022015,bach,male,370895424
2022016@haui.edu.vn,"51A Phan Bội Châu, Hoàn Kiếm - Hà Nội.",Ưng Quang Huy,student,2022016,2022016,bach,male,372022214
2022017@haui.edu.vn,"109 Ô Chợ Dừa - khu vực quận Đống Đa, thủ đô Hà Nội",Thang Bảo Thoa,student,2022017,2022017,bach,male,383848684
2022018@haui.edu.vn,"550 Trần Khát Trân, khu vực quận Hai Bà Trưng, Hà Nội",Trần Văn A,student,2022018,2022018,bach,male,372331607
2022019@haui.edu.vn,"169 Đội Cấn, Ba Đình, Hà Nội",Nguyễn Tuấn Minh,student,2022019,2022019,bach,male,3713595093
2022020@haui.edu.vn,"18 ngõ 19 Đông Tác, Quận Đống Đa",Đào Văn Hùng,student,2022020,2022020,bach,male,3712997682
2022021@haui.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội.",Nguyễn Văn Đông,student,2022021,2022021,bach,male,3718476263
2022022@haui.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Nguyễn Văn Lào,student,2022022,2022022,bach,male,2192155011
2022023@haui.edu.vn,"24 Tông Đản, Tràng Tiền, Hoàn Kiếm, Hà Nội",Trần Thị Năm,student,2022023,2022023,bach,male,3501212752
2022024@haui.edu.vn,"132 Ngọ Khánh, quận Ba Đình, Hà Nội.",Phạm Đức Độ,student,2022024,2022024,bach,male,182764291
2022025@haui.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Nguyễn Huyền Trang,student,2022025,2022025,bach,male,223544128
2022026@haui.edu.vn,"Lương Sơn Quán, 73, Thái Hà - Đống Đa - Hà Nội.",Nguyễn Tuấn Khải,student,2022026,2022026,bach,male,2164224601
2022027@haui.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Nguyễn Thị Phương Hằng,student,2022027,2022027,bach,male,378676173
2022028@haui.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Ưng Hoàng Phúc,student,2022028,2022028,bach,male,370895424
2022029@haui.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Nguyễn Minh Hương,student,2022029,2022029,bach,male,372022214
2022030@haui.edu.vn,"169 Đội Cấn, Ba Đình, Hà Nội",Trịnh Quốc Thanh,student,2022030,2022030,bach,male,383848684
2022031@haui.edu.vn,"18 ngõ 19 Đông Tác, Quận Đống Đa",Từ Nhã Mai,student,2022031,2022031,bach,male,2192155011
2022032@haui.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội.",Quán Công Hiếu,student,2022032,2022032,bach,male,2192155011
2022033@haui.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Phí Quỳnh Giang,student,2022033,2022033,bach,male,3501212752
2022034@haui.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Yên Bảo Hà,student,2022034,2022034,bach,male,182764291
2022035@haui.edu.vn,"132 Ngọ Khánh, quận Ba Đình, Hà Nội.",Tòng Hữu Từ,student,2022035,2022035,bach,male,223544128
2022036@haui.edu.vn,"86 Hoàng Ngân, quận Cầu Giấy, Hà Nội.",Hùng Thuỷ Tiên,student,2022036,2022036,bach,male,2164224601
2022037@haui.edu.vn,"Lương Sơn Quán, 73, Thái Hà - Đống Đa - Hà Nội.",Cổ Thiên Mỹ,student,2022037,2022037,bach,male,378676173
2022038@haui.edu.vn,"51A Phan Bội Châu, Hoàn Kiếm - Hà Nội.",Cô Văn Nan,student,2022038,2022038,bach,male,370895424
2022039@haui.edu.vn,"109 Ô Chợ Dừa - khu vực quận Đống Đa, thủ đô Hà Nội",Metro Cát Linh Hà Đông,student,2022039,2022039,bach,male,372022214
2022040@haui.edu.vn,"550 Trần Khát Trân, khu vực quận Hai Bà Trưng, Hà Nội",Nguyễn Giải Khát,student,2022040,2022040,bach,male,383848684
2022041@haui.edu.vn,"169 Đội Cấn, Ba Đình, Hà Nội",Phong Tịnh Như,student,2022041,2022041,bach,male,2192155011
2022042@haui.edu.vn,"18 ngõ 19 Đông Tác, Quận Đống Đa",Cổ Chí Giang,student,2022042,2022042,bach,male,3501212752
2022043@haui.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Chử Ánh Hoa,student,2022043,2022043,bach,male,2192155011
2022044@haui.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Xa Nguyên Lộc,student,2022044,2022044,bach,male,3501212752
2022045@haui.edu.vn,"24 Tông Đản, Tràng Tiền, Hoàn Kiếm, Hà Nội",Ca Bạch Tuyết,student,2022045,2022045,bach,male,182764291
2022046@haui.edu.vn,"số 8 Đỗ Đức Dục, Từ Liêm, Hà Nội",Vũ Quế Anh,student,2022046,2022046,bach,male,223544128
2022047@haui.edu.vn,"số 1 Ngụy Như Kon Tum, Thanh Xuân, Hà Nội.",Nguyễn Phương Thảo,student,2022047,2022047,bach,male,2164224601
2022048@haui.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội.",Thang Phương Quỳnh,student,2022048,2022048,bach,male,378676173
2022049@haui.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Võ Minh Hải,student,2022049,2022049,bach,male,370895424
2022050@haui.edu.vn,"24 Tông Đản, Tràng Tiền, Hoàn Kiếm, Hà Nội",Nguyễn Xuân Hiếu,student,2022050,2022050,bach,male,372022214
2022051@haui.edu.vn,"132 Ngọ Khánh, quận Ba Đình, Hà Nội.",Hoàng Thị Giang,student,2022051,2022051,bach,male,383848684
2022052@haui.edu.vn,"86 Hoàng Ngân, quận Cầu Giấy, Hà Nội.",Mộc Đạt Hoà,student,2022052,2022052,bach,male,2192155011
2022053@haui.edu.vn,"số 8 Đỗ Đức Dục, Từ Liêm, Hà Nội",Thanh Trúc,student,2022053,2022053,bach,male,3501212752
2022054@haui.edu.vn,"số 1 Ngụy Như Kon Tum, Thanh Xuân, Hà Nội.",Quán Công Hậu,student,2022054,2022054,bach,male,2192155011
2022055@haui.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội.",Nhan Tuấn Khải ,student,2022055,2022055,bach,male,3501212752
2022056@haui.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Cai Tấn Trình,student,2022056,2022056,bach,male,182764291
2022057@haui.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội.",Danh Minh Thư,student,2022057,2022057,bach,male,223544128
2022058@haui.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Khuất Thái Vân,student,2022058,2022058,bach,male,2164224601
2022059@haui.edu.vn,"24 Tông Đản, Tràng Tiền, Hoàn Kiếm, Hà Nội",Dương Minh Vương,student,2022059,2022059,bach,male,378676173
